Honesty ,Scalability ,Robustness,Direct Trust,Indirect Trust,Aggregation
0.601,0.014,0.581,0.971,0.495,0.533
0.395,0.744,0.388,0.631,0.637,0.559
0.480,0.809,0.177,0.098,0.991,0.511
0.773,0.429,0.602,0.193,0.048,0.409
0.162,0.177,0.893,0.732,0.305,0.454
0.674,0.763,0.848,0.823,0.864,0.794
0.273,0.633,0.429,0.640,0.360,0.467
0.104,0.619,0.628,0.436,0.709,0.499
0.981,0.042,0.824,0.449,0.168,0.492
0.307,0.993,0.249,0.812,0.285,0.529
0.818,0.976,0.885,0.532,0.102,0.662
0.122,0.854,0.202,0.025,0.239,0.289
0.261,0.868,0.902,0.295,0.335,0.532
0.772,0.592,0.128,0.981,0.698,0.634
0.135,0.224,0.372,0.175,0.058,0.193
0.273,0.790,0.659,0.968,0.026,0.543
0.535,0.220,0.089,0.752,0.302,0.379
0.701,0.960,0.645,0.766,0.243,0.663
0.031,0.897,0.820,0.653,0.890,0.658
0.627,0.231,0.003,0.290,0.421,0.315
0.718,0.367,0.672,0.881,0.013,0.530
0.870,0.594,0.171,0.870,0.828,0.667
0.532,0.690,0.236,0.116,0.099,0.335
0.656,0.688,0.829,0.687,0.034,0.579
0.904,0.802,0.344,0.881,0.721,0.730
0.920,0.881,0.963,0.076,0.392,0.646
0.459,0.275,0.344,0.016,0.630,0.345
0.942,0.636,0.748,0.327,0.862,0.703
0.474,0.244,0.349,0.646,0.184,0.379
0.684,0.215,0.582,0.868,0.111,0.492
0.432,0.827,0.690,0.356,0.077,0.476
0.566,0.837,0.842,0.807,0.601,0.731
0.719,0.522,0.973,0.544,0.866,0.725
0.748,0.150,0.864,0.032,0.633,0.485
0.858,0.647,0.486,0.779,0.541,0.662
0.060,0.247,0.763,0.970,0.823,0.572
0.549,0.414,0.822,0.573,0.589,0.590
0.295,0.788,0.716,0.591,0.992,0.677
0.852,0.663,0.319,0.463,0.526,0.564
0.907,0.429,0.512,0.302,0.837,0.597
0.614,0.329,0.968,0.530,0.773,0.643
0.146,0.232,0.705,0.976,0.130,0.438
0.295,0.311,0.542,0.116,0.291,0.311
0.211,0.553,0.994,0.797,0.240,0.559
0.656,0.022,0.757,0.332,0.141,0.382
0.648,0.687,0.954,0.227,0.327,0.569
0.029,0.404,0.371,0.089,0.403,0.259
0.120,0.648,0.647,0.630,0.590,0.527
0.005,0.946,0.817,0.436,0.399,0.520
0.953,0.607,0.643,0.764,0.410,0.675
0.900,0.444,0.077,0.700,0.239,0.472
0.653,0.510,0.650,0.822,0.646,0.656
0.705,0.046,0.437,0.169,0.354,0.342
0.875,0.304,0.809,0.835,0.731,0.711
0.203,0.123,0.630,0.342,0.352,0.330
0.522,0.943,0.875,0.239,0.176,0.551
0.514,0.240,0.454,0.931,0.396,0.507
0.325,0.230,0.118,0.284,0.152,0.222
0.437,0.487,0.624,0.353,0.637,0.508
0.333,0.522,0.378,0.663,0.315,0.442
0.352,0.447,0.160,0.447,0.601,0.401
0.226,0.190,0.789,0.041,0.379,0.325
0.888,0.907,0.050,0.230,0.948,0.605
0.089,0.595,0.083,0.642,0.803,0.442
0.227,0.482,0.248,0.224,0.196,0.275
0.571,0.961,0.010,0.542,0.011,0.419
0.626,0.301,0.892,0.554,0.556,0.586
0.634,0.982,0.134,0.259,0.569,0.515
0.760,0.526,0.120,0.276,0.097,0.356
0.988,0.792,0.727,0.957,0.928,0.878
0.464,0.040,0.287,0.254,0.924,0.394
0.917,0.144,0.313,0.140,0.767,0.456
0.260,0.233,0.212,0.249,0.709,0.333
0.735,0.214,0.839,0.135,0.581,0.501
0.830,0.209,0.620,0.350,0.053,0.412
0.082,0.555,0.855,0.978,0.719,0.638
0.700,0.352,0.903,0.208,0.521,0.537
0.145,0.596,0.358,0.453,0.374,0.385
0.140,0.049,0.818,0.020,0.256,0.257
0.339,0.618,0.207,0.681,0.087,0.386
0.684,0.911,0.796,0.275,0.314,0.596
0.915,0.595,0.127,0.024,0.764,0.485
0.502,0.579,0.945,0.039,0.343,0.482
0.083,0.652,0.818,0.510,0.177,0.448
0.809,0.743,0.438,0.711,0.681,0.676
0.157,0.982,0.172,0.549,0.307,0.434
0.525,0.697,0.211,0.194,0.329,0.391
0.227,0.830,0.468,0.357,0.461,0.469
0.588,0.891,0.790,0.260,0.281,0.562
0.399,0.706,0.882,0.403,0.077,0.494
0.409,0.861,0.143,0.986,0.896,0.659
0.035,0.240,0.910,0.970,0.393,0.510
0.252,0.511,0.483,0.940,0.352,0.508
0.346,0.760,0.937,0.073,0.218,0.467
0.491,0.297,0.543,0.122,0.417,0.374
0.496,0.363,0.202,0.116,0.292,0.294
0.246,0.533,0.352,0.176,0.481,0.358
0.349,0.550,0.881,0.361,0.183,0.465
0.729,0.031,0.712,0.123,0.157,0.350
0.913,0.570,0.395,0.927,0.037,0.568
0.793,0.021,0.819,0.429,0.115,0.435
0.453,0.113,0.685,0.024,0.963,0.448
0.450,0.988,0.290,0.544,0.855,0.625
0.800,0.733,0.718,0.329,0.423,0.600
0.619,0.514,0.374,0.447,0.878,0.566
0.202,0.451,0.647,0.684,0.712,0.539
0.704,0.710,0.161,0.150,0.962,0.537
0.927,0.358,0.457,0.129,0.757,0.526
0.458,0.337,0.800,0.913,0.365,0.574
0.434,0.362,0.806,0.362,0.260,0.445
0.406,0.217,0.278,0.138,0.877,0.383
0.073,0.576,0.160,0.083,0.840,0.346
0.888,0.709,0.816,0.514,0.791,0.744
0.658,0.089,0.065,0.604,0.338,0.351
0.312,0.063,0.353,0.391,0.611,0.346
0.768,0.180,0.479,0.207,0.726,0.472
0.325,0.903,0.093,0.442,0.419,0.437
0.111,0.314,0.598,0.591,0.114,0.346
0.515,0.023,0.207,0.335,0.387,0.293
0.621,0.308,0.811,0.347,0.949,0.607
0.592,0.376,0.910,0.102,0.025,0.401
0.128,0.981,0.296,0.547,0.786,0.547
0.324,0.736,0.237,0.196,0.446,0.388
0.622,0.298,0.346,0.323,0.664,0.450
0.912,0.092,0.124,0.394,0.245,0.353
0.742,0.604,0.041,0.298,0.494,0.436
0.810,0.296,0.148,0.561,0.732,0.509
0.187,0.896,0.295,0.486,0.328,0.438
0.812,0.764,0.775,0.167,0.661,0.636
0.540,0.896,0.852,0.780,0.546,0.723
0.098,0.165,0.635,0.646,0.817,0.472
0.066,0.329,0.705,0.594,0.426,0.424
0.679,0.669,0.200,0.291,0.082,0.384
0.024,0.441,0.878,0.533,0.689,0.513
0.858,0.792,0.794,0.931,0.992,0.873
0.805,0.339,0.180,0.471,0.914,0.542
0.128,0.897,0.117,0.530,0.368,0.408
0.798,0.622,0.303,0.512,0.509,0.549
0.279,0.112,0.869,0.588,0.626,0.495
0.529,0.552,0.936,0.563,0.872,0.690
0.733,0.345,0.447,0.876,0.246,0.529
0.160,0.591,0.728,0.892,0.824,0.639
0.078,0.297,0.305,0.779,0.627,0.417
0.345,0.933,0.568,0.374,0.286,0.501
0.331,0.212,0.245,0.048,0.174,0.202
0.650,0.354,0.215,0.090,0.278,0.317
0.452,0.903,0.622,0.552,0.658,0.637
0.207,0.726,0.793,0.060,0.822,0.522
0.374,0.546,0.941,0.199,0.532,0.518
0.126,0.430,0.688,0.380,0.797,0.484
0.610,0.967,0.898,0.794,0.913,0.836
0.368,0.589,0.355,0.020,0.672,0.401
0.129,0.811,0.517,0.175,0.350,0.396
0.433,0.048,0.569,0.001,0.182,0.247
0.979,0.071,0.756,0.381,0.136,0.465
0.878,0.092,0.850,0.786,0.423,0.606
0.827,0.091,0.662,0.463,0.361,0.481
0.481,0.393,0.289,0.503,0.376,0.408
0.669,0.439,0.340,0.599,0.590,0.528
0.377,0.204,0.253,0.604,0.903,0.468
0.128,0.666,0.920,0.648,0.368,0.546
0.818,0.551,0.839,0.221,0.159,0.517
0.761,0.763,0.967,0.713,0.064,0.654
0.366,0.757,0.245,0.641,0.080,0.418
0.648,0.474,0.663,0.230,0.384,0.480
0.685,0.498,0.027,0.688,0.282,0.436
0.966,0.737,0.323,0.599,0.739,0.673
0.808,0.023,0.553,0.994,0.148,0.505
0.375,0.163,0.432,0.756,0.807,0.506
0.131,0.737,0.301,0.933,0.494,0.519
0.873,0.710,0.004,0.201,0.406,0.439
0.051,0.772,0.309,0.842,0.807,0.556
0.438,0.763,0.857,0.217,0.792,0.613
0.164,0.802,0.827,0.914,0.821,0.706
0.445,0.102,0.328,0.306,0.858,0.408
0.683,0.274,0.634,0.621,0.515,0.545
0.614,0.439,0.149,0.973,0.086,0.452
0.788,0.201,0.183,0.845,0.196,0.443
0.773,0.519,0.749,0.141,0.286,0.494
0.808,0.568,0.772,0.092,0.853,0.619
0.823,0.935,0.995,0.855,0.459,0.813
0.896,0.012,0.631,0.883,0.382,0.561
0.862,0.466,0.866,0.982,0.250,0.685
0.473,0.969,0.804,0.832,0.612,0.738
0.764,0.599,0.618,0.377,0.779,0.627
0.724,0.448,0.989,0.684,0.525,0.674
0.433,0.936,0.018,0.374,0.837,0.520
0.401,0.866,0.883,0.505,0.187,0.568
0.793,0.032,0.888,0.061,0.482,0.451
0.724,0.159,0.629,0.899,0.288,0.540
0.820,0.627,0.874,0.240,0.793,0.671
0.813,0.961,0.581,0.973,0.248,0.715
0.482,0.311,0.491,0.420,0.297,0.400
0.192,0.586,0.748,0.297,0.449,0.454
0.566,0.347,0.072,0.882,0.259,0.425
0.673,0.471,0.239,0.949,0.957,0.658
0.386,0.585,0.351,0.867,0.989,0.636
0.629,0.185,0.612,0.527,0.008,0.392
0.255,0.466,0.609,0.427,0.916,0.534
0.054,0.771,0.094,0.072,0.752,0.348
0.206,0.020,0.647,0.454,0.227,0.311
0.176,0.591,0.721,0.668,0.447,0.521
0.289,0.132,0.766,0.388,0.217,0.358
0.493,0.756,0.818,0.867,0.635,0.714
0.799,0.056,0.732,0.978,0.924,0.698
0.965,0.102,0.617,0.938,0.640,0.652
0.681,0.363,0.357,0.015,0.246,0.332
0.176,0.883,0.056,0.247,0.652,0.403
0.911,0.095,0.056,0.474,0.918,0.491
0.331,0.947,0.219,0.073,0.835,0.481
0.031,0.695,0.297,0.450,0.190,0.333
0.801,0.652,0.439,0.202,0.178,0.454
0.241,0.294,0.560,0.458,0.897,0.490
0.353,0.654,0.270,0.409,0.171,0.372
0.313,0.894,0.251,0.512,0.871,0.568
0.141,0.116,0.490,0.735,0.906,0.478
0.263,0.034,0.373,0.146,0.583,0.279
0.947,0.011,0.745,0.215,0.150,0.414
0.554,0.188,0.772,0.457,0.750,0.544
0.356,0.497,0.519,0.402,0.870,0.529
0.683,0.206,0.038,0.260,0.169,0.271
0.105,0.151,0.249,0.220,0.997,0.344
0.500,0.814,0.795,0.929,0.750,0.758
0.675,0.581,0.013,0.815,0.833,0.583
0.982,0.887,0.805,0.274,0.131,0.616
0.746,0.773,0.544,0.241,0.378,0.536
0.094,0.983,0.219,0.792,0.630,0.544
0.896,0.941,0.105,0.351,0.254,0.509
0.789,0.470,0.202,0.816,0.149,0.485
0.406,0.638,0.471,0.778,0.060,0.471
0.276,0.043,0.696,0.441,0.444,0.380
0.411,0.428,0.523,0.621,0.337,0.464
0.648,0.071,0.293,0.382,0.120,0.303
0.052,0.705,0.765,0.626,0.845,0.598
0.346,0.171,0.501,0.809,0.650,0.495
0.650,0.444,0.992,0.284,0.870,0.648
0.322,0.778,0.382,0.421,0.274,0.436
0.669,0.143,0.158,0.150,0.201,0.264
0.577,0.472,0.766,0.724,0.582,0.624
0.537,0.448,0.799,0.951,0.825,0.712
0.428,0.812,0.059,0.250,0.715,0.453
0.658,0.816,0.172,0.870,0.565,0.616
0.621,0.753,0.121,0.180,0.367,0.408
0.669,0.878,0.225,0.694,0.946,0.683
0.526,0.883,0.064,0.225,0.732,0.486
0.248,0.483,0.447,0.788,0.757,0.545
0.816,0.425,0.604,0.242,0.089,0.435
0.749,0.999,0.677,0.515,0.675,0.723
0.112,0.253,0.786,0.837,0.069,0.411
0.740,0.229,0.676,0.168,0.449,0.452
0.290,0.187,0.663,0.574,0.465,0.436
0.497,0.512,0.526,0.467,0.048,0.410
0.975,0.287,0.402,0.001,0.237,0.380
0.813,0.026,0.248,0.002,0.877,0.393
0.107,0.039,0.831,0.754,0.643,0.475
0.043,0.905,0.089,0.654,0.674,0.473
0.699,0.128,0.701,0.819,0.484,0.566
0.452,0.366,0.790,0.230,0.445,0.457
0.063,0.632,0.914,0.503,0.857,0.593
0.369,0.351,0.737,0.670,0.205,0.467
0.141,0.891,0.118,0.665,0.831,0.529
0.716,0.434,0.354,0.062,0.376,0.388
0.054,0.599,0.862,0.417,0.955,0.577
0.440,0.314,0.287,0.246,0.267,0.311
0.738,0.067,0.746,0.685,0.506,0.548
0.750,0.688,0.964,0.919,0.027,0.669
0.436,0.263,0.534,0.406,0.320,0.392
0.136,0.194,0.585,0.963,0.645,0.505
0.828,0.943,0.730,0.856,0.450,0.761
0.119,0.607,0.077,0.148,0.713,0.333
0.057,0.214,0.068,0.202,0.797,0.268
0.788,0.061,0.353,0.380,0.222,0.361
0.210,0.831,0.424,0.476,0.483,0.485
0.725,0.754,0.950,0.282,0.808,0.704
0.903,0.650,0.032,0.619,0.485,0.538
0.308,0.225,0.770,0.275,0.108,0.337
0.927,0.953,0.345,0.517,0.320,0.612
0.559,0.994,0.739,0.852,0.106,0.650
0.800,0.222,0.333,0.613,0.318,0.457
0.420,0.030,0.669,0.174,0.222,0.303
0.612,0.722,0.302,0.528,0.840,0.601
0.909,0.359,0.060,0.005,0.971,0.461
0.148,0.852,0.340,0.211,0.094,0.329
0.982,0.345,0.313,0.042,0.622,0.461
0.075,0.116,0.673,0.939,0.967,0.554
0.236,0.373,0.267,0.354,0.464,0.339
0.279,0.990,0.619,0.409,0.042,0.468
0.273,0.129,0.696,0.940,0.194,0.446
0.478,0.407,0.353,0.293,0.095,0.325
0.132,0.348,0.014,0.458,0.626,0.316
0.048,0.467,0.575,0.422,0.439,0.390
0.570,0.458,0.850,0.257,0.959,0.619
0.528,0.217,0.684,0.117,0.225,0.354
0.918,0.804,0.866,0.030,0.043,0.532
0.215,0.522,0.422,0.161,0.793,0.423
0.866,0.521,0.903,0.034,0.036,0.472
0.181,0.843,0.478,0.615,0.608,0.545
0.610,0.037,0.575,0.680,0.567,0.494
0.594,0.420,0.492,0.072,0.038,0.323
0.566,0.304,0.863,0.837,0.996,0.713
0.167,0.331,0.806,0.099,0.986,0.478
0.492,0.202,0.177,0.098,0.230,0.240
0.193,0.307,0.340,0.975,0.963,0.556
0.237,0.580,0.303,0.320,0.447,0.377
0.329,0.537,0.069,0.924,0.369,0.445
0.910,0.659,0.931,0.800,0.668,0.794
0.541,0.175,0.284,0.100,0.591,0.338
0.782,0.181,0.154,0.816,0.565,0.500
0.544,0.776,0.172,0.476,0.083,0.410
0.091,0.434,0.759,0.645,0.141,0.414
0.292,0.198,0.705,0.371,0.760,0.465
0.278,0.589,0.655,0.753,0.926,0.640
0.505,0.001,0.208,0.479,0.144,0.267
0.903,0.700,0.999,0.890,0.342,0.767
0.785,0.784,0.508,0.762,0.655,0.699
0.603,0.136,0.092,0.164,0.263,0.252
0.727,0.487,0.850,0.768,0.841,0.735
0.445,0.879,0.919,0.183,0.051,0.495
0.920,0.747,0.386,0.289,0.979,0.664
0.236,0.784,0.445,0.044,0.991,0.500
1.000,0.641,0.734,0.230,0.393,0.600
0.258,0.039,0.002,0.605,0.818,0.344
0.162,0.512,0.333,0.722,0.759,0.498
0.445,0.901,0.545,0.857,0.821,0.714
0.398,0.925,0.381,0.979,0.577,0.652
0.125,0.706,0.227,0.186,0.874,0.424
0.533,0.545,0.143,0.928,0.008,0.432
0.715,0.925,0.401,0.072,0.498,0.522
0.226,0.958,0.373,0.303,0.336,0.439
0.094,0.039,0.620,0.270,0.305,0.265
0.107,0.095,0.299,0.910,0.901,0.462
0.382,0.372,0.536,0.477,0.719,0.497
0.630,0.712,0.154,0.833,0.642,0.594
0.332,0.598,0.975,0.196,0.914,0.603
0.269,0.225,0.829,0.592,0.265,0.436
0.166,0.441,0.499,0.213,0.382,0.340
0.513,0.558,0.780,0.768,0.035,0.531
0.752,0.259,0.695,0.629,0.604,0.588
0.071,0.208,0.769,0.530,0.443,0.404
0.858,0.412,0.135,0.225,0.544,0.435
0.023,0.471,0.582,0.396,0.997,0.494
0.403,0.515,0.452,0.929,0.491,0.558
0.073,0.263,0.630,0.949,0.264,0.436
0.360,0.283,0.630,0.489,0.479,0.448
0.872,0.329,0.184,0.606,0.316,0.461
0.808,0.419,0.445,0.752,0.119,0.509
0.512,0.539,0.369,0.738,0.593,0.550
0.836,0.605,0.315,0.646,0.519,0.584
0.431,0.155,0.813,0.781,0.519,0.540
0.501,0.275,0.353,0.631,0.146,0.381
0.620,0.814,0.445,0.543,0.221,0.529
0.171,0.406,0.191,0.765,0.321,0.371
0.115,0.149,0.201,0.131,0.846,0.288
0.629,0.937,0.263,0.995,0.381,0.641
0.840,0.224,0.727,0.230,0.851,0.574
0.704,0.568,0.810,0.673,0.790,0.709
0.897,0.110,0.013,0.189,0.954,0.433
0.077,0.230,0.250,0.604,0.743,0.381
0.496,0.263,0.284,0.794,0.358,0.439
0.897,0.740,0.842,0.855,0.043,0.675
0.820,0.372,0.130,0.672,0.021,0.403
0.918,0.444,0.498,0.051,0.617,0.506
0.479,0.517,0.692,0.456,0.181,0.465
0.205,0.177,0.313,0.531,0.713,0.388
0.956,0.183,0.303,0.162,0.193,0.359
0.473,0.866,0.972,0.022,0.859,0.639
0.077,0.094,0.506,0.520,0.257,0.291
0.243,0.968,0.895,0.240,0.088,0.487
0.986,0.895,0.049,0.331,0.187,0.490
0.104,0.538,0.061,0.537,0.678,0.384
0.453,0.116,0.575,0.380,0.499,0.405
0.136,0.560,0.828,0.671,0.071,0.453
0.514,0.261,0.773,0.700,0.573,0.564
0.895,0.224,0.221,0.286,0.010,0.327
0.638,0.956,0.541,0.981,0.164,0.656
0.648,0.162,0.631,0.630,0.034,0.421
0.375,0.314,0.867,0.389,0.001,0.389
0.870,0.953,0.400,0.554,0.080,0.572
0.836,0.994,0.820,0.517,0.799,0.793
0.645,0.677,0.336,0.630,0.902,0.638
0.343,0.873,0.651,0.719,0.236,0.564
0.486,0.143,0.802,0.389,0.007,0.365
0.893,0.952,0.459,0.511,0.551,0.673
0.482,0.363,0.310,0.851,0.865,0.574
0.010,0.416,0.266,0.613,0.366,0.334
0.158,0.415,0.872,0.852,0.155,0.491
0.179,0.257,0.609,0.542,0.654,0.448
0.743,0.353,0.578,0.330,0.619,0.525
0.786,0.148,0.438,0.071,0.867,0.462
0.305,0.987,0.671,0.197,0.982,0.628
0.630,0.250,0.737,0.891,0.236,0.549
0.419,0.512,0.517,0.262,0.495,0.441
0.735,0.676,0.271,0.857,0.696,0.647
0.487,0.833,0.310,0.917,0.507,0.611
0.475,0.266,0.619,0.156,0.766,0.456
0.141,0.141,0.094,0.513,0.607,0.299
0.488,0.996,0.367,0.185,0.578,0.523
0.488,0.459,0.228,0.608,0.326,0.422
0.116,0.520,0.930,0.691,0.257,0.503
0.256,0.756,0.240,0.496,0.074,0.364
0.947,0.023,0.286,0.149,0.422,0.366
0.676,0.949,0.961,0.838,0.737,0.832
0.234,0.826,0.956,0.121,0.682,0.564
0.863,0.160,0.671,0.888,0.029,0.522
0.885,0.062,0.195,0.334,0.098,0.315
0.819,0.674,0.352,0.980,0.221,0.609
0.798,0.087,0.905,0.991,0.123,0.581
0.457,0.647,0.161,0.793,0.917,0.595
0.901,0.473,0.968,0.436,0.364,0.629
0.353,0.106,0.704,0.153,0.930,0.449
0.384,0.265,0.850,0.930,0.151,0.516
0.507,0.966,0.613,0.007,0.628,0.544
0.013,0.373,0.105,0.640,0.785,0.383
0.940,0.240,0.558,0.159,0.486,0.477
0.753,0.939,0.818,0.693,0.013,0.643
0.017,0.658,0.647,0.574,0.222,0.423
0.725,0.020,0.344,0.268,0.815,0.434
0.817,0.699,0.884,0.899,0.889,0.838
0.582,0.632,0.148,0.371,0.549,0.457
0.695,0.440,0.547,0.156,0.092,0.386
0.125,0.454,0.630,0.468,0.457,0.427
0.028,0.544,0.988,0.963,0.883,0.681
0.408,0.840,0.304,0.805,0.297,0.531
0.894,0.333,0.255,0.938,0.302,0.544
0.862,0.177,0.036,0.155,0.715,0.389
0.640,0.443,0.699,0.555,0.999,0.667
0.461,0.528,0.621,0.806,0.927,0.668
0.939,0.526,0.713,0.374,0.146,0.540
0.811,0.264,0.074,0.506,0.772,0.485
0.504,0.836,0.277,0.279,0.472,0.474
0.782,0.811,0.714,0.252,0.619,0.636
0.732,0.272,0.383,0.617,0.098,0.421
0.099,0.330,0.607,0.772,0.946,0.551
0.867,0.271,0.461,0.366,0.075,0.408
0.147,0.908,0.455,0.752,0.561,0.564
0.360,0.897,0.435,0.634,0.963,0.658
0.634,0.096,0.488,0.027,0.361,0.321
0.783,0.508,0.979,0.625,0.944,0.768
0.062,0.289,0.274,0.602,0.848,0.415
0.207,0.642,0.855,0.697,0.695,0.619
0.094,0.628,0.661,0.949,0.339,0.534
0.422,0.616,0.251,0.184,0.784,0.451
0.547,0.566,0.928,0.084,0.995,0.624
0.672,0.715,0.879,0.753,0.622,0.728
0.402,0.352,0.740,0.759,0.090,0.468
